Unternehmen	Klassifikation	Reasoning	Quelle
Philippi-Hagenbuch Inc	C	Hersteller von Kipperaufbauten und Rear-Eject-Bodies für Off-Highway-Lkw (Mining, Aggregates). Hydraulik für Kippen/Entleerung; Aufbauten, keine eigenen Pumpenaggregate. Eckerle nur indirekt über Fahrzeug-OEM.	https://www.philsystems.com/ | https://www.philsystems.com/rear-ejects
PILECO, Inc	A	Hersteller von Rammgeräten inkl. Hydraulik-Power-Packs und -Hämmer. Baut/spezifiziert Pumpen in Power Packs; direkter Abnehmer für Eckerle EIPS/EIPC.	https://www.pileco.com/ | https://www.pileco.com/diesel-hammers.html
Power Curbers Companies, LLC	B	OEM für Bordstein- und Straßenfertiger (5700-D, SF-3404, 7700). Hydraulik für Slipform und Steuerung; Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://www.powercurbers.com/ | https://www.powercurbers.com/products/
PRINOTH	B	OEM Vegetationsmanagement (Jarraff, GRIZZLY-Mulcher). Hydraulikgetriebene Mulcher (GRIZZLY M450h–M650h, 150–570 l/min); Eckerle EIMQ/EIPS für Träger oder Anbaugeräte denkbar. Jarraff bereits A.	https://www.prinoth-vegetationmanagement.com/ | https://www.prinoth-vegetationmanagement.com/en-us/categories/hydraulic-driven-attachments-vm
ProAll - A Terex Brand	A	OEM volumetrische Betonmischer mit eigener Hydraulikauslegung (Load-Sensing-Kolbenpumpen, variable Zementdosierung, Manifolds). Direkte Pumpenintegration; Eckerle EIPS/EIMQ als Quelle/Zweitquelle plausibel.	https://proallinc.com/ | https://www.powermotiontech.com/hydraulics/hydraulic-filters/article/21887266/fluid-filtration-protects-mobile-concrete-mixers-hydraulic-control-system
QUADCO	B	OEM Forst-Anbaugeräte (Log Max Ernteköpfe, 10000XT, 7000XT, Fällköpfe). Hydraulik für Zuführung, Sägen, Entastung; Eckerle EIMQ für Hochdruck-Motoren in Köpfen denkbar.	https://www.quadco.com/ | https://www.quadco.com/product/10000xt/
Quick Attach	C	Hersteller von Anbaugeräten für Skid Steer/Mini-Bagger (Backhoe, Breaker, Packer, Mulcher). Hydraulik vom Träger; Quick Attach liefert Mechanik/Steuerung. Kein eigener Pumpenbedarf.	https://quickattach.com/ | https://quickattach.com/products/quick-xcavator-backhoe
Rammer	C	Marke für Hydraulikhämmer und Demolition (Sandvik Mining and Rock Solutions). Anbaugeräte; Hydraulik vom Träger. Kein typischer Eckerle-Pumpenkäufer; Sandvik als OEM siehe separater Eintrag.	https://www.rammer.com/ | https://www.rammer.com/en/products/hydraulic-hammers/
Ready Jet - Hydro Chipping	A	OEM Betontrommel-Reinigungssystem (G4, G4E, G4HD) mit Hochdruckwasser; integriert Hydraulik für Pumpenantrieb. Direkter Abnehmer für Eckerle EIPS/EIMQ in Power Packs.	https://ready-jet.com/ | https://ready-jet.com/g4/
REED Concrete Pumps & Shotcrete Equipment	A	OEM Beton- und Shotcretepumpen (A-, B-, C-Serie); spezifiziert Variable Displacement Pumps, Rexroth Closed-Loop. Direkte Pumpenintegration; Eckerle EIPS/EIPC als Quelle/Zweitquelle.	https://www.reedpumps.com/concretepumps.htm | https://www.reedpumps.com/howdoesaconcretepumpwork.htm
REESCO Manufacturing and Sales	B	Hersteller von Brechanlagen, Förderbändern, Custom Crushing; 30.000 sqft Fertigung. Hydraulik in Anlagen und Antrieben; Eckerle EIPS/EIMQ für Power Packs oder Aggregate denkbar.	https://reescoms.com/our-facility/
Reliable Asphalt Products	C	Vertrieb/Service von Asphaltanlagen (Batch/Drum Plants, RAP, Crushers). Kein OEM von Hydraulikmaschinen; Händler. Eckerle nur über Anlagenhersteller indirekt.	https://reliableasphalt.com/about-us/ | https://reliableasphalt.com/new-equipment/crushers/
REMco (Rock Engineered Machinery Co Inc)	C	Hersteller von VSI-/VSG-Brecher (SandMax, RockMax). Antrieb typischerweise Elektromotor (50–1500 HP); keine zentrale Hydraulikpumpe für Brecherantrieb. Eckerle nur für Hilfshydraulik denkbar.	https://www.remcovsi.com/ | https://www.remcovsi.com/vsi-crushers/
REMU USA, Inc	C	Vertrieb von REMU-Sieb- und Brechlöffeln (XO2090, XO2150, EP 3150). Hydraulik vom Träger (75–130 l/min); Anbaugeräte. Kein direkter Eckerle-Pumpenkäufer.	https://remu.fi/en/ | https://www.directindustry.com/prod/remu-oy/product-162330-2540399.html
Revolution Concrete Mixers	A	OEM Trommelmischer mit optionaler variable displacement pump/motor (Fuel Saver); spezifiziert Pumpen/Motoren in Mischer-Hydraulik. Direkter Abnehmer für Eckerle EIPS/EIMQ.	https://www.revolutionmixers.com/ | https://www.revolutionmixers.com/products/
Ring-O-Matic, Inc.	A	OEM Vakuum-Exkavatoren und Pit Cleaner (275 VX–1300 VX, 500T/1000T); baut Hydrauliksysteme für Ausleger/Kippen. Direkter Abnehmer für Eckerle EIPS/EIMQ in Power Units. (Alamo Group.)	https://www.ring-o-matic.com/ | https://www.ring-o-matic.com/about/
Rock Tools Attachments, LLC	C	Hersteller von Bagger-Anbaugeräten (Drum Cutter, Rock Saw, Sieve Buckets). Hydraulik vom Träger (16–122 GPM je Modell); Anbaugeräte. Kein eigener Pumpenbedarf.	https://rocktools.com/ | https://rocktools.com/rock-grinder-drum-cutter-attachment/
Rockland Manufacturing Company	C	Hersteller von Anbaugeräten (über 200 Modelle: Thumbs, Löffel, Dozer). Hydraulik-Thumbs und -Kits; Hydraulik vom Träger. Kein typischer Direktkäufer für Eckerle-Pumpen.	https://rocklandmfg.com/attachments/ | https://rocklandmfg.com/product/stick-mounted-hydraulic/
Rockster GmbH	B	OEM mobilen Brecher (Impact, Jaw), Siebe, Stacker (Rockster North America). Hydrostatischer Antrieb, hydraulische Spalteinstellung; Eckerle EIPS/EIMQ für mobile Aggregate denkbar.	https://rockster.at/en/ | https://www.rocksternorthamerica.com/
RockZone Americas	B	Vertrieb Rockwheels, Rockcrusher, Soil Mixer, Rockscreener (Alpine/RockZone). Hydraulikantrieb in Schneid- und Mischgeräten; Eckerle EIMQ für Hochdruck-Motoren in Anbaugeräten denkbar.	https://rockzoneamericas.com/ | https://rockzoneamericas.com/products
Rotobec Inc	B	OEM Greifer-Lader und Knickarmkrane (Elite 910 T&T); eigene Hydraulikzylinder (5.000 PSI), Rotatoren (RGP, RT). Eckerle EIPS/EIMQ für Power Packs oder Pumpen in Aggregaten denkbar.	https://rotobec.com/ | https://pdf.directindustry.com/pdf/rotobec-inc/rotobec-power-attachments/61578-870027.html
Rotochopper Inc	B	OEM Holzzerkleinerer (Horizontal Grinder); Hydraulic Start Assist für Elektromodelle. Hydraulik für Anlauf und Hilfsfunktionen; Eckerle EIPS/EIMQ für kompakte Aggregate denkbar.	https://www.rotochopper.com/ | https://www.rotochopper.com/technology/hydraulic-start-assist/
Rototilt Inc.	C	OEM Tiltrotatoren für Bagger (RC5, RC9). Hydraulik vom Träger; Rototilt liefert nur Kipp-/Drehmechanik und Steuerung. Kein eigener Pumpenbedarf; Eckerle über Träger-OEM.	https://www.rototilt.com/en/products/tiltrotators/ | https://www.rototilt.com/en/products/control-systems/
RUBBLE MASTER	C	OEM mobile Brecher (RM 100GO! u. a.); Diesel-Elektro-Antrieb, nur kleine Hydraulik für Zylinder und Raupen. Geringer Pumpenbedarf; Eckerle nur für Hilfshydraulik denkbar.	https://www.rubblemaster.com/us/select/mobile-crushers | https://www.rubblemaster.com/en/solutions/rm-diesel-electric
Ruthmann Reachmaster NA LP (Time Mfg)	B	Vertrieb Ruthmann-Arbeitsbühnen (T-166A, T-243A, T-295A, Eagle, Ecoline). Hydraulik für Ausleger und Nivellierung; Eckerle EIPS/EIMQ für mobile Arbeitsbühnen denkbar.	https://www.ruthmannreachmaster.com/ | https://www.ruthmannreachmaster.com/truck-mounted-aerial-lifts/
SAKAI America, Inc.	B	OEM Vibrationswalzen und Bodenverdichter (SV544D, SV544T u. a.). Hydrostatische Bremsen und Verdichtungshydraulik; Eckerle EIPS/EIMQ für Hilfsaggregate denkbar.	https://www.sakaiamerica.com/ | https://www.sakaiamerica.com/compaction-equipment/sv544d-84-inch-smooth-drum-soil-roller-compactor/
Sandvik	D	Sandvik Mining and Rock Solutions fertigt eigene Axialkolbenpumpen und Retrofit-Kits für Bohrgeräte/LHD. Eigenes Hydraulik-Komponentengeschäft; kein typischer Eckerle-Abnehmer. Rammer gehört zu Sandvik.	https://www.mining.sandvik/en/products/parts-and-components/upgrades/rotary-drills/auxiliary-hydraulic-pumps-retrofit-kit/
SANY America	B	OEM Bagger, Radlader, Krane (SY385C, SY215C u. a.); Kawasaki-Hydraulik, Positive Flow Control. Beschaffung über Tier-1; Eckerle über Systemintegratoren.	https://www.sanyamerica.com/ | https://www.sanyamerica.com/products/construction-equipment/excavators/large/sy385c/
SBM Mineral Processing GmbH	B	OEM Brecher und Aufbereitungsanlagen (STE, RHS, REMAX). Hydraulische Spalteinstellung, Hybrid-Antriebe; Eckerle EIPS/EIMQ für mobile Anlagen oder Hilfsaggregate denkbar.	https://www.sbm-mp.at/en/ | https://www.sbm-mp.at/en/processing-technology/mineral-processing-single-machines/primary-crushers
Schwarze Industries LLC	A	OEM Kehrmaschinen (HyperVac, A4 Storm, A4000) mit eigener Hydraulikauslegung (Gutter Brooms, Kippe, Auxiliary). Spezifiziert/baut Hydrauliksysteme; direkter Abnehmer für Eckerle EIPS/EIPC.	https://schwarze.com/ | https://www.forconstructionpros.com/pavement-maintenance/sweepers/regenerative/product/10117703/schwarze-industries-inc-a4-storm-street-sweeper
Screen Machine Industries	B	OEM mobile Brecher und Siebe (5256T, 4043T, CXT Cone). Hydraulik für Brecher-Relief, Spalteinstellung, Raupenantrieb; Eckerle EIPS/EIMQ für mobile Aggregate denkbar.	https://www.screenmachine.com/equipment-lines/crushing-plants/5256t-impact-crusher/ | https://www.screenmachine.com/equipment-lines/crushing-plants/cxt-cone-crusher/
Sennebogen LLC	B	OEM Materialhandler und Krane (817 E, 865 E Hybrid, 870 E Hybrid). Hydraulik zentral; Green Hybrid Energierückgewinnung. Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://sennebogen-na.com/product/ | https://www.sennebogen.com/en/products/material-handler/sennebogen-865-hybrid
Seppi M.	B	OEM Forstmulcher und -mäher (MIDIFORST dt hyd, STARFORST hyd). Hydraulikantrieb 190–520 l/min für Rotoren; Eckerle EIMQ für Hochdruck-Motoren in Mulchern denkbar.	https://www.seppi.com/en/forestry-mulchers/ | https://www.seppi.com/en-us/mulcher-mower-shredder-tiller-stump-grinder/mulchers-for-compact-loaders/midiforst-dt-hyd.html
Sewer Equipment	B	Vertrieb RAMVAC Hydro- und Air-Exkavatoren (HX-15, HX-12, AX). Vollhydraulische Antriebe, Hydrostatik; Eckerle EIPS/EIMQ für Power Packs oder Hilfsaggregate denkbar.	https://sewerequipment.com/ramvac-vacuum-excavators/ | https://sewerequipment.com/ramvac-full-size-hydro-excavators/
ShearCore	C	Hersteller Fortress-Scheren und Betonprozessoren (FS Mobile Shear, FC Concrete Processor). Anbaugeräte; Hydraulik vom Träger. Kein eigener Pumpenbedarf; Eckerle nur indirekt über Träger-OEM.	https://shearcore.com/ | https://shearcore.com/our-products/fortress/fs-mobile-shear-series/
Shuttlelift	B	OEM Mobilkrane und Gantry-Krane (CD7725, SL/SB/DB Series). Load-Sensing-Kolbenpumpen, hydrostatischer Antrieb; Eckerle EIPS/EIMQ für Kran-Hydraulik denkbar.	https://www.shuttlelift.com/industrialcranes/rubber-tired-gantry-cranes-sl-series/ | https://pdf.directindustry.com/pdf/manitowoc-cranes/shuttlelift-cd7725/16235-436901.html
Simplicity, a Terex Brand	C	Terex-Marke für Siebanlagen (Modular, Portable, Static); Hydraulik nur für Einstellung/Lagerung, minimal. Kein eigener Pumpen-/Aggregatbedarf; Eckerle nur Randanwendung.	https://www.terex.com/simplicity/en | https://www.terex.com/simplicity/en/products/static-product-solutions/static-screen
Skyjack	B	OEM Scheren- und Teleskoparbeitsbühnen, Teleskoplader. Hydraulik für Heben und Antrieb; optional Hydraulik-Generatoren. Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://www.skyjack.com/products | https://www.skyjack.com/node/1091
Socage North America Llc	B	OEM Spider Lifts (RAPTOR 50S, 68S, 115S). Elektrohydraulische Steuerung, hydraulische Ausleger und Nivellierung; Eckerle EIPS/EIMQ für mobile Arbeitsbühnen denkbar.	https://socagenorthamerica.com/ | https://socagenorthamerica.com/tracked-lift-raptor-68s/
Soilmec North America, Inc.	A	Vertrieb Soilmec-Bohrgeräte (SR-, SC-, SM-Serie); Soilmec OEM baut/spezifiziert Load-Sensing, Zwillingskolbenpumpen (z. B. 500 l/min) in Rigs. Direkter Abnehmer für Eckerle EIPS/EIPC in Power Packs.	https://soilmecna.squarespace.com/ | https://www.heavyequipmentguide.ca/article/35274/soilmec-upgrades-drilling-rig-to-include-new-hydraulics-and-mechanics-for-improved-efficiency
Spydercrane	B	OEM Mini-Spinnenkrane (1,9–20 t). Vollhydraulischer Antrieb, hydraulische Outrigger und Schwenkantrieb; Eckerle EIPS/EIMQ für kompakte Kran-Hydraulik denkbar.	https://www.spydercrane.com/ | https://www.spydercrane.com/spydercranes
Stedman Machine Company	B	Hersteller Brecher und Zerkleinerer (Cage Mills, HSI, Mega-Slam). Hydraulik für Gehäuseöffnung und Spalteinstellung; Eckerle EIPS für Hilfspumpen in Anlagen denkbar.	https://www.stedman-machine.com/ | https://www.stedman-machine.com/h-series-impact-mills.html
Steelwrist Inc.	C	OEM Tiltrotatoren für Bagger (X07–XTR20). Hydraulik vom Träger; Steelwrist liefert Kipp-/Drehmechanik und Steuerung (LockSense, OptiLube). Kein eigener Pumpenbedarf.	https://steelwrist.com/en-us/products/tiltrotators/ | https://steelwrist.com/int/products/tiltrotators/xtr15/
Stellar Industries Inc	A	OEM Service-Lkw-Krane (76/86 Series); baut/spezifiziert vollhydraulische Ausleger und Kran-Power Units (Planetenwinde, Proportionalsteuerung). Direkter Abnehmer für Eckerle EIPS/EIMQ.	https://www.stellarindustries.com/product-category/service-cranes/hydraulic-cranes/ | https://www.stellarindustries.com/product-category/service-cranes/
Super Products	A	OEM Vakuumfahrzeuge (Mud Dog, Camel, Supersucker, SuperJet, Durasucker); baut Hydrauliksysteme für Kippen/Antriebe. Direkter Abnehmer für Eckerle EIPS/EIMQ in Power Units.	https://www.superproducts.com/ | https://www.superproducts.com/products/vacuum-trucks/supersucker-industrial-vacuum-loaders/
Superior Broom Manufacturing Inc	A	OEM Kehrmaschinen (SM74, DT74) mit eigener Hydraulikauslegung (Load-compensated Kolbenpumpe, Hydrostatik). Spezifiziert/baut Pumpensysteme; direkter Abnehmer für Eckerle EIPS/EIPC.	https://www.superiorbroom.com/ | https://www.superiorbroom.com/products/dt74j
Superior Industries	B	OEM Förderer, Brecher, Portable Plants (Jaw, Cone, HSI). Hydraulik in Brechern und Antrieben; Eckerle EIPS/EIMQ für mobile Anlagen oder Power Packs denkbar.	https://superior-ind.com/products/conveying-equipment/ | https://superior-ind.com/products/crushing-equipment/
Swaploader USA Ltd (An EFCO Company)	A	Hersteller Hydraulik-Hooklift-Systeme (SwapLoader); baut/spezifiziert Power Units für Doppelzylinder, Niederdruck-Hydraulik. Direkter Abnehmer für Eckerle EIPS.	https://swaploader.com/ | https://swaploader.com/about-us/
Sweeprite Mfg Inc	A	OEM Kehrmaschinen (S2, S3) mit eigener Hydraulikauslegung (Zahnradpumpen, elektrohydraulische Steuerung, hydrostatische Antriebe). Spezifiziert/baut Pumpensysteme; direkter Abnehmer für Eckerle EIPS/EIPC.	https://sweepritemfginc.com/ | https://sweepritemfginc.com/sweeprite-s2/
Trackless Vehicles Ltd	B	OEM Kommunalfahrzeuge (MT6, MT7). Sauer Danfoss Hydrostatik, Hydraulik-Schnellkupplungen für Anbaugeräte; Eckerle EIPS/EIMQ für Hilfsaggregate denkbar.	https://tracklessvehicles.com/products/mt7/ | https://tracklessvehicles.com/wp-content/uploads/Trackless-MT6-2008-2016.pdf
TRUVAC	A	OEM Hydro-Exkavatoren (APXX, HXX, FLXX, Paradigm, TRXX); baut Hydraulik für Wasserpumpe (3.000 psi), Ausleger, Vakuum. Direkter Abnehmer für Eckerle EIPS/EIMQ in Power Packs. (Vactor-Marke.)	https://www.truvac.com/ | https://www.truvac.com/equipment/trxx
TT Technologies Inc	A	Hersteller grabenlose Bohrgeräte (GRUNDOMAT, GRUNDOPIT); GRUNDOPIT hydraulisch (Thrust/Pullback). Baut/spezifiziert Power Packs; direkter Abnehmer für Eckerle EIPS/EIPC.	https://www.tttechnologies.com/ | https://www.tttechnologies.com/products/grundopit-pit-launched-directional-boring-system/
TYMCO Inc	B	OEM Kehrmaschinen (435, 500x, 600). Hydraulik für Hopper-Kippe und Dump; Eckerle EIPS/EIPC für Hilfspumpen denkbar. Regenerative Air für Besen.	https://www.tymco.com/ | https://tymco.com/sweepers/model-500x
Vacall	A	OEM Hydro-Exkavatoren (AllExcavate, AllExcavate2); integriert Hydraulik-Wasserpumpe (bis 24,5 GPM, 3.000 psi), variable Drehzahl. Direkter Abnehmer für Eckerle EIPS/EIMQ im Pumpenantrieb.	https://www.vacall.com/products/hydro-excavators.php | https://vacall.com/library/literature/allexcavate_hydro-excavator.pdf
Vactor Manufacturing	A	OEM Kanalreiniger und Hydro-Exkavatoren (2100i, iMPACT, TRUVAC, Ramjet); baut Hydraulik für Wasserpumpe, Vakuum, Ausleger. Direkter Abnehmer für Eckerle EIPS/EIMQ in Power Packs.	https://www.vactor.com/ | https://www.vactor.com/equipment
Vermeer Corporation	B	Großer OEM Grabenfräsen und Horizontalbohrer (T855, D24 u. a.). Hydrostatik, Hydraulikmotoren; Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://www.vermeer.com/em/equipment | https://www.vermeer.com/getmedia/267f7e9a-cc4c-4cf1-a481-16753aa6eb7a/t855-pipeline-trencher-spec-sheet?ext=.pdf
Virnig Manufacturing Inc	C	Hersteller Skid-Steer-Anbaugeräte (Schnee, Eimer, Greifer, Mulcher, Kehrbesen). Hydraulik vom Träger; Virnig liefert Motoren/Schläuche. Kein eigener Pumpenbedarf.	https://www.virnigmfg.com/products/ | https://virnigmfg.com/product/v60-blade
VMI Dredges & Amphibious Excavators	A	OEM Swamp Hoe und Dredges (MD-815); baut Hydraulik für Pontons, Cutter, Slurry-Pumpen (hydraulischer Antrieb). Direkter Abnehmer für Eckerle EIMQ in Pumpenantrieben.	https://vmidredges.com/ | https://www.swamphoe.com/
Volvo Construction Equipment North America LLC	B	Großer OEM Bagger, Radlader, Verdichter. Original-Hydraulikpumpen über Händlernetz; Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://www.volvoce.com/united-states/en-us/parts/repair-and-reman-parts/hydraulics/
Wacker Neuson	B	OEM Kompaktgeräte (Bagger, Radlader, Dumper, Teleskoplader, Rüttler). Hydraulik zentral; OEM-Teile über Händler. Eckerle über Tier-1/Systemintegratoren.	https://www.wackerneuson.com/us/ | https://www.wackerneuson.com/us/products
